Any;Comarca;Valors
2015;Baix Empordà;1028
2016;Baix Empordà;1060
2017;Baix Empordà;1173
2018;Baix Empordà;1226
2019;Baix Empordà;1301
2020;Baix Empordà;1350
2021;Baix Empordà;1601
2022;Baix Empordà;1850
2023;Baix Empordà;1.990
2001;Baix Llobregat;3294
2002;Baix Llobregat;3380
2003;Baix Llobregat;3489
2004;Baix Llobregat;3621
2005;Baix Llobregat;3709
2006;Baix Llobregat;3786
2007;Baix Llobregat;3828
2008;Baix Llobregat;3919
2009;Baix Llobregat;4035
2010;Baix Llobregat;4152
2011;Baix Llobregat;4245
2012;Baix Llobregat;4432
2013;Baix Llobregat;4637
2014;Baix Llobregat;4855
2015;Baix Llobregat;4994
2016;Baix Llobregat;5154
2017;Baix Llobregat;5408
2018;Baix Llobregat;5961
2019;Baix Llobregat;6420
2020;Baix Llobregat;6560
2021;Baix Llobregat;6865
2022;Baix Llobregat;7418
2023;Baix Llobregat;8.189
2001;Baix Penedès;318
2002;Baix Penedès;321
2003;Baix Penedès;341
2004;Baix Penedès;363
2005;Baix Penedès;390
2006;Baix Penedès;403
2007;Baix Penedès;424
2008;Baix Penedès;437
2009;Baix Penedès;468
2010;Baix Penedès;503
2011;Baix Penedès;538
2012;Baix Penedès;559
2013;Baix Penedès;583
2014;Baix Penedès;610
2015;Baix Penedès;645
2016;Baix Penedès;699
2017;Baix Penedès;753
2018;Baix Penedès;867
2019;Baix Penedès;944
2020;Baix Penedès;1003
2021;Baix Penedès;1156
2022;Baix Penedès;1250
2023;Baix Penedès;1.391
2001;Barcelonès;10919
2002;Barcelonès;10990
2003;Barcelonès;11310
2004;Barcelonès;11587
2005;Barcelonès;11751
2006;Barcelonès;12030
2007;Barcelonès;12226
2008;Barcelonès;12441
2009;Barcelonès;12636
2010;Barcelonès;12890
2011;Barcelonès;13091
2012;Barcelonès;13385
2013;Barcelonès;13833
2014;Barcelonès;14173
2015;Barcelonès;14223
2016;Barcelonès;14494
2017;Barcelonès;14922
2018;Barcelonès;17109
2019;Barcelonès;17706
2020;Barcelonès;18019
2021;Barcelonès;18353
2022;Barcelonès;19528
2023;Barcelonès;20.720
2001;Berguedà;177
2002;Berguedà;178
2003;Berguedà;186
2004;Berguedà;193
2005;Berguedà;193
2006;Berguedà;196
2007;Berguedà;203
2008;Berguedà;211
2009;Berguedà;219
2010;Berguedà;226
2011;Berguedà;229
2012;Berguedà;243
2013;Berguedà;251
2014;Berguedà;255
2015;Berguedà;253
2016;Berguedà;256
2017;Berguedà;257
2018;Berguedà;263
2019;Berguedà;277
2020;Berguedà;283
2021;Berguedà;297
2022;Berguedà;312
2023;Berguedà;349
2001;Cerdanya;73
2002;Cerdanya;76
2003;Cerdanya;74
2004;Cerdanya;81
2005;Cerdanya;81
2006;Cerdanya;81
2007;Cerdanya;84
2008;Cerdanya;89
2009;Cerdanya;93
2010;Cerdanya;100
2011;Cerdanya;100
2012;Cerdanya;100
2013;Cerdanya;105
2014;Cerdanya;112
2015;Cerdanya;110
2016;Cerdanya;107
2017;Cerdanya;109
2018;Cerdanya;112
2019;Cerdanya;117
2020;Cerdanya;116
2021;Cerdanya;130
2022;Cerdanya;141
2023;Cerdanya;151
2001;Conca de Barberà;118
2002;Conca de Barberà;123
2003;Conca de Barberà;129
2004;Conca de Barberà;131
2005;Conca de Barberà;135
2006;Conca de Barberà;134
2007;Conca de Barberà;136
2008;Conca de Barberà;135
2009;Conca de Barberà;148
2010;Conca de Barberà;161
2011;Conca de Barberà;163
2012;Conca de Barberà;168
2013;Conca de Barberà;165
2014;Conca de Barberà;170
