id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1086077957559352102,Apartamento Larra by SanSe Holidays,63070557,SanSe Holidays,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.316617324042745,-1.9376725382289743,Entire home/apt,250,1,3,2024-05-13,0.94,36,327,3,
1086158580654221190,Habitación 1 Privada Aeropuerto,485801266,Inmohost,Vizcaya,Loiu,43.3231237168822,-2.9098822484720257,Private room,95,2,0,,,13,261,0,LBI00456
1086178658751943530,Habitación 2 Privada Aeropuerto,485801266,Inmohost,Vizcaya,Loiu,43.32478,-2.91051,Private room,85,2,0,,,13,262,0,LBI00456
1086182668049563790,Habitación 3 Privada Aeropuerto,485801266,Inmohost,Vizcaya,Loiu,43.32260119938291,-2.9107538086114544,Private room,89,2,0,,,13,262,0,LBI00456
1086193640406357355,"Gros, monte y playa",55084676,Isabel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32468400442196,-1.9677327763122052,Entire home/apt,130,30,0,,,1,159,0,
1086753103014019587,habitación privada en Oiartzun,50431651,Arantza,GuipÃºzcoa,Oiartzun,43.2969143,-1.8575482,Private room,23,5,4,2024-06-07,1.04,6,64,4,
1086927952657239109,Old Town Core next to Plaza Nueva,561025973,Aira,Vizcaya,Bilbao,43.2595485,-2.921926,Entire home/apt,247,1,3,2024-03-22,0.69,1,313,3,EBI02579
1086969680899005547,Kastrexana Apartamento con tranquilidad y wifi,543276496,Izaskun,Vizcaya,Bilbao,43.25965,-2.96043,Entire home/apt,109,1,6,2024-06-10,1.70,2,331,6,
1087625451965565648,"Amplio y acogedor.
EBI02392",559573039,Gorka,Vizcaya,Bilbao,43.2561977,-2.9294663,Entire home/apt,157,1,3,2024-05-26,0.89,1,120,3,
1087684113897371502,Apartamento Bilbao-Basurto,150384763,Jon,Vizcaya,Bilbao,43.25949687985333,-2.953523422090152,Entire home/apt,140,1,21,2024-06-24,5.43,1,73,21,EBI02827
1087819787574517144,Apartamento familiar en Bakio,279970667,Eneko,Vizcaya,Bakio,43.42781554860788,-2.8102529502624596,Entire home/apt,127,2,0,,,1,160,0,
1088469456550174114,"Bilbao, a un paso.",51114482,Bilbo,Vizcaya,Bilbao,43.25036894530402,-2.913310341802975,Entire home/apt,100,2,2,2024-05-17,0.59,1,85,2,
1088942606783180213,Habitación confortable.,561468327,Johanna,Vizcaya,Bilbao,43.255043677833804,-2.9333925247192383,Private room,80,1,0,,,1,265,0,
1089238940410338777,Encanto Natural: Monte y Mar,16876087,Eider,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32555,-1.96417,Entire home/apt,230,30,0,,,1,193,0,
1089653638612876294,Sarrikobaso House,485801266,Inmohost,Vizcaya,Getxo,43.35374610821999,-3.008052656587999,Entire home/apt,130,3,3,2024-05-16,0.89,13,212,3,EBI02774
1089834513051578795,Harea by FeelFree Rentals,124008929,FeelFree Rentals,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31978,-1.9833,Entire home/apt,969,2,9,2024-06-18,3.51,126,83,9,ESS03190
1089841427401881033,Santutxu a 1 parada de Casco Viejo (1' en metro),508702597,Sergio,Vizcaya,Bilbao,43.256411847485886,-2.9128322047622293,Entire home/apt,113,1,11,2024-06-13,2.62,4,90,11,EBI02649
1089888939667094763,chambre avec salle de ban privé,279213376,Maria,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.308757926672534,-1.989256993347631,Private room,110,1,0,,,2,93,0,
1090179622045953967,se alquila habitación,85959261,Gorka,Vizcaya,Barakaldo,43.29392940606564,-2.9860089170658095,Private room,54,1,0,,,1,261,0,
1090349243163827616,Casa rústica Moderna EBI02909,191581288,Eduardo,Vizcaya,Dima,43.126163330922324,-2.765700209509283,Entire home/apt,403,5,0,,,1,90,0,
1090629938820728846,Fantástico Dúplex En El Gran Bilbao,303101789,Jonny,Vizcaya,Barakaldo,43.2633596,-3.0131342,Entire home/apt,106,2,13,2024-06-18,3.86,1,71,13,EBI02828
1090652874316588977,Maestro Damián Moderno Apartamento a Estrenar,561895686,Inmaculada,Vizcaya,Bilbao,43.270188763133206,-2.9250224259600843,Entire home/apt,103,1,9,2024-06-21,2.50,1,340,9,EBI02783
1091149884226720132,Gran apartamento al lado del mar,17444441,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.314737193375535,-1.9868123575712233,Entire home/apt,434,2,1,2024-03-16,0.28,3,24,1,
1091872782404784800,ISLA Estudio para 2 personas,313817678,Nekane,GuipÃºzcoa,Oiartzun,43.28220234406329,-1.8237970927016633,Entire home/apt,98,1,26,2024-06-28,6.29,1,121,26,
1092065518863096201,Keyser LoftP,77569490,Patricio,Vizcaya,Sopelana,43.3758309,-2.9924712,Private room,160,1,1,2024-02-24,0.23,4,305,1,
1092077356648585688,Keyser Terra,77569490,Patricio,Vizcaya,Sopelana,43.3758309,-2.9924712,Private room,132,1,4,2024-03-31,1.18,4,221,4,
1092087477219785978,Keyser Garden,77569490,Patricio,Vizcaya,Sopelana,43.3758309,-2.9924712,Private room,90,1,3,2024-06-06,0.89,4,220,3,
1092510211600203635,"Duplex, terraza, Getxo- Bilbao",562305881,Tam,Vizcaya,Getxo,43.32872,-3.00817,Entire home/apt,314,1,8,2024-05-26,2.07,1,264,8,
1092559860629673629,Amplio y luminoso con  parking en Casco Viejo,4554244,Iñaki,Vizcaya,Bilbao,43.25326219999999,-2.9249498,Entire home/apt,145,4,8,2024-06-09,2.58,1,228,8,
1092588440131709597,"Playa, río y monte en 1ª linea",94296670,Alexandra&Family,GuipÃºzcoa,Orio,43.28728867832668,-2.1265579074096697,Entire home/apt,299,1,4,2024-06-10,1.21,2,135,4,
1092775035756047051,Vivienda con encanto en Urdaibai EBI02595,562366591,Pedro,Vizcaya,Busturia,43.390038813973774,-2.6965002116848713,Entire home/apt,199,2,3,2024-05-26,0.98,1,249,3,
1094252308147470097,Estudio en Casco Viejo EBI02700,531561073,Sergio Y Asenet,Vizcaya,Bilbao,43.25371773812191,-2.9230891540646553,Entire home/apt,116,3,23,2024-06-24,5.43,2,319,23,
1094318148750616763,*NEW* Apartamento en el centro de San Sebastián,213557758,Jon Y Jose Ignacio,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3192275,-1.983848,Entire home/apt,429,1,1,2024-06-29,1,1,79,1,ESS03502
1094832595117570378,Piso a un minuto de la playa,2222082,Arantza,Vizcaya,Plentzia,43.409087766319125,-2.9437491469659225,Entire home/apt,250,4,1,2024-05-25,0.81,1,232,1,
1094843893206355214,¡Habitación pequeña pero acogedora!,232727757,Karen,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31821530098481,-1.9400229172465637,Private room,56,1,9,2024-06-22,2.21,1,64,9,
1094870778312087787,Arkotxa by People Rentals,85246818,People Rentals,Vizcaya,Getxo,43.34474,-3.00653,Entire home/apt,145,1,5,2024-06-19,1.74,46,275,5,EBI02821
1095461559816615673,Casa tradicional en Orozko con jardin,100065518,Xabier,Vizcaya,Orozko,43.07140798377286,-2.9214219029822455,Entire home/apt,250,2,2,2024-05-26,0.64,1,220,2,EBI01414
1095551736103880024,Itsasoa Apartment by Basque Homes,2035832,Jokin Y Michele,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3054,-1.97546,Entire home/apt,178,3,4,2024-05-29,1.29,23,326,4,ESS03306
1095584787528045110,Spacious and cozy next to the Town Hall,563045051,Naiara,Vizcaya,Bilbao,43.2667904,-2.9239991,Entire home/apt,175,1,16,2024-06-11,4.03,1,342,16,EBI02759
1095728313895101195,Pasaia a un paso de Donosti.,563091355,Josune,GuipÃºzcoa,Pasaia,43.317504,-1.9153166,Entire home/apt,120,4,1,2024-05-12,0.60,1,110,1,
1096109878997185560,Habitación disponible,209502862,Aroa,Ãlava,Vitoria-Gasteiz,42.833676541243236,-2.6914501441255028,Shared room,37,1,0,,,2,258,0,
