id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31283246,Kerstin Bruns - Casa Leon with sea view,162235748,Kerstin,,Tossa de Mar,41.71943,2.90068,Entire home/apt,142,5,1,2019-07-26,0.02,58,18,0,HUTG-006222
31301840,"Bravissimo Entresol A, holiday apartment in Girona",117763930,Bravissimo,,Girona,41.98464,2.82481,Entire home/apt,98,1,32,2024-04-18,0.49,85,310,3,HUTG-036590
31851385,"Canada 3, Platja d'Aro Costa Brava",100339062,Apartamentos,,Castell-Platja d'Aro,41.81267,3.06366,Entire home/apt,88,4,0,,,63,61,0,ATG-000079
31854344,Acogedor apartamento en zona inmejorable,237765912,Silvia,,Castell-Platja d'Aro,41.82527,3.07246,Entire home/apt,117,6,24,2024-06-25,0.39,2,214,3,HUTG-040104
31870283,"Bravissimo Sant Pau, cozy apartment in the centre",117763930,Bravissimo,,Girona,41.98967,2.82484,Entire home/apt,103,1,29,2024-05-16,0.46,85,310,6,HUTG-042219
31303745,"Spacieuse villa de charme,  vue sur mer imprenable",234294936,Aude,,Begur,41.96967,3.20825,Entire home/apt,406,7,6,2024-04-20,0.10,3,74,2,HUTG-032655
31308131,Kerstin Bruns - Villa Ariane con pool and sea view,162235748,Kerstin,,Tossa de Mar,41.71391,2.89897,Entire home/apt,300,7,4,2024-05-11,0.08,58,173,1,HUTG-020628
31321934,Kerstin Bruns - Casa Sofia with sea view,162235748,Kerstin,,Tossa de Mar,41.71946,2.90029,Entire home/apt,114,5,6,2021-08-07,0.10,58,204,0,HUTG-006205
31874239,Villas Costa Brava - Villa S'Agulla,7874757,Jorge,,Blanes,41.683257480635916,2.8146510124206614,Entire home/apt,556,7,0,,,8,305,0,HUTG-027348
31874931,"101.31, Apartment new construction with garage pla",151496825,Serveis Immobiliaris,,Cadaqués,42.29247,3.27457,Entire home/apt,166,1,31,2024-01-01,0.49,65,151,4,HUTG-041606
31322783,"Apartament ""Cap Ras"" amb preciosa vista canal pl.1",203540695,Miriam,,Castelló d'Empúries,42.24896,3.12917,Entire home/apt,110,7,1,2019-08-26,0.02,4,216,0,HUTG-022086
31877086,Over the rock,160332345,Dimitri,,Begur,41.96828,3.22837,Entire home/apt,235,3,85,2024-06-02,1.35,1,316,26,HUTG-042867
31323798,"Apartament ""Cap Norfeu"" amb vista canal pl.2",203540695,Miriam,,Castelló d'Empúries,42.24903,3.12862,Entire home/apt,110,7,5,2023-08-12,0.21,4,233,2,HUTG-022087
31913389,Villa Cathy piscine /mer/montagne,239244725,Catherine,,Palau-saverdera,42.31291,3.1329,Entire home/apt,336,7,38,2024-06-24,0.60,2,155,5,HUTG-032978
31323949,Kerstin Bruns - Casa Beatrix with sea view,162235748,Kerstin,,Tossa de Mar,41.71341,2.90044,Entire home/apt,136,4,3,2023-08-12,0.05,58,11,1,HUTG-006228
31324369,"Apartament ""Cap Gros"" amb vistes al canal pl.3",203540695,Miriam,,Castelló d'Empúries,42.25089,3.13085,Entire home/apt,110,7,6,2023-08-13,0.10,4,227,1,HUTG-022088
31329783,Casa única a Tamariu,234531969,Anna,,Palafrugell,41.91634,3.20668,Entire home/apt,461,5,29,2024-06-21,0.47,1,68,10,HUTG-041856
31918623,Joli appartement vue sur mer,39787870,Jamal,,Lloret de Mar,41.69965,2.84674,Entire home/apt,102,5,0,,,1,181,0,HUTG-013440
31923018,Vistas asombrosas en villa con piscina privada,32980059,Cati,,Roses,42.24944,3.18353,Entire home/apt,285,7,18,2024-06-08,0.29,1,121,12,HUTG-011452
31351434,APARTAMENTO FRENTE A LA BAHÍA DE ROSES,33842101,Ester,,Roses,42.26015,3.17901,Entire home/apt,128,2,59,2024-04-27,0.98,1,177,13,HUTG-020751
31926747,Appartment by the sea,230809009,Conxita,,Roses,42.252,3.1823,Entire home/apt,213,3,35,2024-05-12,0.54,2,78,5,HUTG-019687
31936034,House with the pool,183860973,Ivan,,Calonge,41.83753,3.06926,Entire home/apt,121,2,31,2024-06-22,0.51,1,7,4,HUTG-023006
31381662,La Pausa del Montseny: casa de pueblo en Breda,235022591,Maria,,Breda,41.74838,2.55769,Entire home/apt,130,2,61,2024-06-24,0.95,2,113,14,HUTG-035541
31940556,Casa Pollo (Sa Nau Perduda) HUTG-26912,55247438,Aura,,Begur,41.967860257,3.227728046,Entire home/apt,157,1,2,2022-08-20,0.09,40,138,0,HUTG-026912
31399922,Tresor Apartment by BHomesCostaBrava,46301657,Jeanine,,Girona,41.98354,2.82548,Entire home/apt,63,1,231,2024-06-23,3.54,34,226,40,HUTG-040044
31940661,Casa la Torreta (Residencial Begur),55247438,Aura,,Begur,41.940717534,3.189258613,Entire home/apt,227,1,8,2024-06-09,0.35,40,139,6,HUTG-009195
31940787,L'ESCALA appartement 600 m de la plage.,239471653,James,,L'Escala,42.11203,3.13401,Entire home/apt,113,7,27,2024-06-29,0.45,1,278,8,Exempt
31401921,Casita de los Artistas,235200872,Clara,,Saus,42.12586511238933,2.973166025685978,Entire home/apt,30,31,0,,,1,212,0,
31941819,"Encantador apto, Fenals, 5 min de la playa",239487384,Ekaterina,,Lloret de Mar,41.69715,2.82712,Entire home/apt,60,3,5,2020-08-28,0.08,1,109,0,HUTG-042750
31424873,Kerstin Bruns - Casa Conrado with sea view,162235748,Kerstin,,Tossa de Mar,41.7194,2.90112,Entire home/apt,157,5,8,2024-05-09,0.14,58,39,2,HUTG-006203
31944860,Appartement cosy front de mer,239508499,Claude,,Castelló d'Empúries,42.23891,3.12419,Entire home/apt,74,7,15,2024-06-22,0.69,1,340,13,HUTG-043907
31425891,"Bravissimo Plaça del Vi, Authentic and Historic",117763930,Bravissimo,,Girona,41.98327,2.82462,Entire home/apt,113,1,20,2024-05-27,0.32,85,297,1,HUTG-039765
31428302,Kerstin Bruns - Casa Evita with pool,162235748,Kerstin,,Tossa de Mar,41.71663,2.90112,Entire home/apt,157,5,4,2023-08-26,0.11,58,61,2,HUTG-006223
31433225,Holiday rental semidetached with swimming pool in,117908511,Marta,,Begur,41.97174,3.20787,Entire home/apt,2857,1,4,2023-08-05,0.11,125,7,1,HUTG-047061
31949951,"Alojamiento acogedor con patio, jardín y barbacoa",77751964,Sonia,,Borrassà,42.22288,2.92706,Entire home/apt,189,2,36,2023-08-06,0.65,1,328,1,HUTG-049006
31453488,"Villa Amanda Lloret with prívate Pool, A/C & Wifi",134208061,Alberto,,Lloret de Mar,41.70885,2.82391,Entire home/apt,486,5,47,2024-06-07,0.74,1,322,10,HUTG-041774
31454895,"Sea front studio, Mediterranean view",12346740,Raimon,,Castell-Platja d'Aro,41.80745315551758,3.06522798538208,Entire home/apt,88,1,49,2024-06-29,0.75,55,159,6,HUTG-039992
31463452,House in front of the sea by Host&Joy,235146583,Stefan Gabriel,,Palafrugell,41.88441,3.18111,Entire home/apt,135,3,4,2024-06-17,0.37,21,60,4,HUTG-070637
31955796,Encanto apartamento junto al mar,239591806,Christian,,Blanes,41.6618,2.78187,Entire home/apt,147,4,17,2024-03-26,0.31,1,6,5,HUTG-048385
31464445,Vila romana restaurada entre bosques y prados,235705190,Can Riera De La Pineda,,Arbúcies,41.82079,2.53797,Entire home/apt,1154,6,5,2024-01-01,0.08,1,322,1,HUTG-015925
31968030,Villenpark Playa Arena- House Balu,173153149,Villenpark Playa Arena,,Lloret de Mar,41.70528,2.87592,Entire home/apt,81,1,2,2023-06-28,0.08,45,66,0,HUTG-005200
31485692,Estudio 3 personas en GHT Tossa Park,224440547,GHT Hotels,,Tossa de Mar,41.725842,2.928579,Entire home/apt,108,1,237,2024-06-30,6.67,2,109,80,HG220344
31968036,House Bequia - No group of young people allowed,173153149,Villenpark Playa Arena,,Lloret de Mar,41.70576,2.87188,Entire home/apt,381,7,2,2020-06-24,0.04,45,100,0,HUTG-005186
31968299,Villenpark Playa Arena House Flamenco,173153149,Villenpark Playa Arena,,Lloret de Mar,41.70269,2.87646,Entire home/apt,162,1,0,,,45,36,0,HUTG-005179
